Date,Close,High,Low,Open,Volume
2024-01-01,223.16441345214844,226.13432942330124,219.025240348507,221.223449466849,20347278
2024-01-02,219.4461975097656,223.561977153964,217.1544419739696,223.561977153964,14282514
2024-01-03,213.2257232666016,216.96734601055823,212.80479356253804,216.96734601055823,19534364
2024-01-04,211.5887756347656,215.07316772719895,211.1210727645415,213.74021169242843,15170336
2024-01-05,213.55311584472656,216.54641111347783,212.10323421158145,212.8281678915752,16889130
2024-01-08,210.62998962402344,215.14331944913997,210.02196733125012,213.9740622782207,10082886
2024-01-09,210.8170623779297,216.31257093686628,210.4429058023293,214.2079080845076,14465048
2024-01-10,212.1500244140625,213.27250844598856,209.99858836019487,211.1444660994862,8874676
2024-01-11,209.6244354248047,213.69344189554823,208.9228811084876,212.7814298482315,8638818
2024-01-12,217.6923065185547,219.3526459975455,212.8048058185143,212.8048058185143,36086734
2024-01-15,231.32583618164065,247.4148116255312,228.7768498989195,239.44048361416077,127844264
2024-01-16,226.8358917236328,231.51292041896545,224.7312288107331,231.51292041896545,25912492
2024-01-17,225.61985778808597,229.8759566871802,220.7557508776176,222.2290120383768,28668932
2024-01-18,225.73678588867188,228.7067019485662,219.0720200343425,225.61986017192925,26144924
2024-01-19,226.8592834472656,230.7412260385796,226.1811228136004,228.23901269639495,15498620
2024-01-23,219.7735748291016,227.30359385889423,218.44061880060596,223.5853503488525,19972336
2024-01-24,224.06219482421875,224.50746587463743,219.37519136128267,220.7578631042886,11708750
2024-01-25,220.2891540527344,224.67150497812025,219.60953285602577,224.06218596985764,12852980
2024-01-29,221.6952667236328,223.5700681335578,220.28916566618904,220.28916566618904,10051300
2024-01-30,221.46090698242188,226.33538757697656,220.992206650184,222.35143475295413,11828014
2024-01-31,224.1090545654297,224.92928012330012,219.82044950928383,221.46090062502475,10584480
2024-02-01,220.92190551757807,223.89815550224205,220.5703802667186,223.82783900919088,7828120
2024-02-02,226.4525451660156,228.0226940184346,222.6326406140934,222.6326406140934,16296222
2024-02-05,226.07760620117188,229.428810687574,224.5777594292722,226.38225855382683,11566604
2024-02-06,234.18609619140625,235.1937989505448,226.42911214137996,227.1790354633892,29024038
2024-02-07,232.10040283203125,235.1469548942664,230.858335548395,234.79542965631617,9103534
2024-02-08,229.1241455078125,234.39702390564372,227.3665193752021,232.42847691568085,11303840
2024-02-09,229.87408447265625,231.8894901868986,226.2650861803442,230.0849910407426,7893788
2024-02-12,235.02978515625,239.41212177941037,230.1318610080605,230.1318610080605,48873500
2024-02-13,239.7870941162109,240.443271724134,230.45996031550723,235.80314127087928,22373576
2024-02-14,241.1463165283203,242.31806733749585,232.96749015883572,236.2015338350392,22594656
2024-02-15,243.0211181640625,245.05995313201024,240.46669567503545,242.29463838279364,14570776
2024-02-16,254.5042724609375,255.44167309615275,244.1694361791289,244.8959159499813,34942644
2024-02-19,251.19993591308597,255.86350970133535,249.0438973309463,255.86350970133535,18602758
2024-02-20,249.3251190185547,252.23106646843075,246.65352170806872,251.1296036489805,10374126
2024-02-21,244.3803558349609,251.36397336846025,243.4898137930316,251.1765104066625,13115574
2024-02-22,248.9033050537109,249.81727642059167,244.4037933190335,245.0365273229982,14596482
2024-02-23,251.29368591308597,253.6840460822524,249.9578728479189,250.75466910670676,19860994
2024-02-26,249.7704162597656,251.45772599786005,246.5598018483168,251.340550915848,8820636
2024-02-27,249.0907745361328,251.87954697964813,247.2628319644988,250.2859545527264,10399260
2024-02-28,242.6461639404297,248.85644324582205,241.38066734166492,248.411172215694,12789056
2024-02-29,243.0679626464844,245.71613076812264,240.53699820632335,242.4586579816602,14462764
2024-03-01,243.3023223876953,246.1614114772042,242.57584261994688,244.8490563149495,9420630
2024-03-04,243.95852661132807,246.72387005614183,243.04455522823216,245.10684816407957,5662370
2024-03-05,240.5838623046875,243.9585102427411,239.34180934957,242.6695843961176,10521548
2024-03-06,240.5135803222656,241.3103479794192,234.3501596798078,240.771359776474,11091922
2024-03-07,241.61502075195312,243.9116638178868,239.27151909577512,240.7947951722908,9707982
2024-03-11,241.16973876953125,243.2320315762429,240.11516307211664,242.50555181724107,11131512
2024-03-12,239.43556213378903,244.8959180193378,237.9825882762082,240.32608988404877,11652760
2024-03-13,236.4124298095703,243.1148527200106,232.85030464850533,240.8182097940147,13580480
2024-03-14,242.76333618164065,243.20860720655952,232.0769603159742,234.88916223268663,12825472
2024-03-15,242.3180694580078,242.90394486772252,237.34984312290723,241.26349372052127,13649086
2024-03-18,239.13092041015625,243.0445568262552,238.56847427784535,242.786777359379,6393960
2024-03-19,231.93637084960935,238.56847793542437,231.13957453388625,238.56847793542437,9617386
2024-03-20,231.30360412597656,234.93603154639464,229.28819850447428,232.49878420093285,8385344
2024-03-21,234.5610809326172,236.8342660423893,233.6236802923487,234.1861120943506,11644580
2024-03-22,228.30392456054688,230.0146778365637,224.7652286270561,229.31162736941167,28646502
2024-03-26,224.9058532714844,230.1084297272015,224.53088443022625,227.78835740258748,18273346
2024-03-27,221.36715698242188,225.42142622201567,220.8750273643757,224.8355508178661,14320668
